Отметка времени,Ваш пол,Ваш возраст (число полных лет),Факультет обучения,Сколько времени вы уделяете общению в соцсетях с помощью телефона?,Как часто вы используете свой телефон для просмотра видео (в том числе и в соцсетях)?,Как часто вы играете в игры на телефоне?,Как часто вы снимаете фото / видео на своём телефоне?,"Используете ли вы свой телефон для того, чтобы списывать на контрольных?","Как часто вы используете свой телефон для того, чтобы читать книги/статьи?",Иные задачи,Как часто вы покупаете новый телефон?,Какой размер экрана и разрешение вы предпочитаете?,Какое разрешение камеры вы выбираете?,Важно ли вам время автономной работы?,Важна ли вам производительность?,Является ли бренд критерием при покупке?,Иные критерии
11.04.2022 10:04:53,Мужской,0,ИБМ,Менее часа в неделю,2 - 3 часа в неделю,Менее 3 часов в неделю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 5 - 10 часов в неделю,,Раз в 2 - 3 года,"4 - 5'', 5 - 6'', 1920 х 1080, 2340 х 1080 и близкие, 2560 х 1440, 3120 х 1440 и близкие","10 - 20 Мп устроит, Более 20 Мп","Нет, всегда ношу PowerBank",Выбираю производительность выше среднего,Подойдёт любой с Ростестом,
11.04.2022 10:09:33,Мужской,19,ИБМ,2 - 3 часа в неделю,2 - 3 часа в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Почти всегда списываю с телефона,Читаю 1 - 4 часа в неделю,,Раз в 2 - 3 года,"6 - 7'', 1920 х 1080, 2340 х 1080 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 10:11:00,Женский,19,Ибм ,6 - 10 часов в неделю,Менее часа в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,Более 7'',10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 10:11:04,Женский,19,ИБМ,Более 10 часов в неделю,"Смотрю ночью вместо того, чтобы спать, 10+ часов в неделю",3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 2 - 3 года,"1920 х 1080, 2340 х 1080 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 10:11:32,Мужской,19,ИБМ,6 - 10 часов в неделю,Менее часа в неделю,"Практически ежедневно, я зависим от игр","Фотографирую материал на лекциях, семинарах",Иногда,Более 10 часов в неделю,,Раз в 2 - 3 года,Разрешение не принципиально,Не принципиально,"Нет, всегда ношу PowerBank",Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 10:12:59,Женский,19,ИБМ,2 - 3 часа в неделю,Менее часа в неделю,Не играю,"Жить без фотографирования и съёмок не могу, и вообще я тиктокер(ша) по жизни",Иногда,Не читаю с телефона,,Раз в 4 - 5 лет,"5 - 6'', 6 - 7''","10 - 20 Мп устроит, Более 20 Мп",Да,"Нет, у меня нет задач, где производительность была бы важна",Подойдёт любой с Ростестом,
11.04.2022 10:14:19,Женский,20,Ибм,Более 10 часов в неделю,2 - 3 часа в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,Работа ,Раз в 2 - 3 года,6 - 7'',Не принципиально,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 10:15:28,Мужской,19,РЛ,Более 10 часов в неделю,"Смотрю ночью вместо того, чтобы спать, 10+ часов в неделю",Не играю,"Иногда фотографирую, снимаю видео",Нет,Читаю 5 - 10 часов в неделю,,Раз в 4 - 5 лет,6 - 7'',5 - 10 Мп будет достаточно,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 10:20:58,Женский,20,ИБМ,Более 10 часов в неделю,6 - 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Читаю 5 - 10 часов в неделю,,Раз в 2 - 3 года,6 - 7'',10 - 20 Мп устроит,Да,"Нет, у меня нет задач, где производительность была бы важна","Да, предпочитаю конкретный бренд",
11.04.2022 10:21:27,Мужской,19,Ибм ,Более 10 часов в неделю,Более 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,Более 7'',Не принципиально,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 10:35:46,Мужской,19,Энерго,6 - 10 часов в неделю,2 - 3 часа в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Не читаю с телефона,,Раз в 2 - 3 года,5 - 6'',"10 - 20 Мп устроит, Более 20 Мп",Да,Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 10:59:45,Женский,19,ИБМ,Более 10 часов в неделю,Не смотрю видео с телефона,3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,4 - 5'',10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 11:01:02,Женский,19,Ибм,6 - 10 часов в неделю,6 - 10 часов в неделю,Не играю,"Жить без фотографирования и съёмок не могу, и вообще я тиктокер(ша) по жизни",Иногда,Читаю 5 - 10 часов в неделю,,Раз в 2 - 3 года,"6 - 7'', 2560 х 1440, 3120 х 1440 и близкие",Более 20 Мп,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 11:03:33,Женский,19,ИБМ,Более 10 часов в неделю,6 - 10 часов в неделю,Менее 3 часов в неделю,"Фотографирую материал на лекциях, семинарах",Только благодаря телефону сдаю кр / зачёты / экзамены,Читаю 5 - 10 часов в неделю,,Раз в 2 - 3 года,6 - 7'',Не принципиально,Да,Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 11:05:51,Мужской,20,МТ,Более 10 часов в неделю,6 - 10 часов в неделю,Не играю,"Жить без фотографирования и съёмок не могу, и вообще я тиктокер(ша) по жизни",Нет,Более 10 часов в неделю,,Раз в 2 - 3 года,Разрешение не принципиально,Более 20 Мп,Да,Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 11:07:01,Женский,19,ИБМ,Более 10 часов в неделю,Более 10 часов в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 5 - 10 часов в неделю,Работа,Раз в 4 - 5 лет,6 - 7'',10 - 20 Мп устроит,Да,Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 11:08:53,Мужской,19,СМ1-41Б,Менее часа в неделю,Менее часа в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Не читаю с телефона,,Реже чем раз в 5 лет,5 - 6'',10 - 20 Мп устроит,Да,"Нет, у меня нет задач, где производительность была бы важна","Да, предпочитаю конкретный бренд",
11.04.2022 11:17:51,Мужской,20,ИБМ,Более 10 часов в неделю,Более 10 часов в неделю,3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Читаю 5 - 10 часов в неделю,,Раз в 4 - 5 лет,"6 - 7'', Разрешение не принципиально",10 - 20 Мп устроит,Да,"Нет, у меня нет задач, где производительность была бы важна","Да, предпочитаю конкретный бренд",
11.04.2022 11:26:29,Мужской,19,ИБМ,2 - 3 часа в неделю,6 - 10 часов в неделю,Менее 3 часов в неделю,"Фотографирую материал на лекциях, семинарах",Почти всегда списываю с телефона,Более 10 часов в неделю,,Раз в 2 - 3 года,Разрешение не принципиально,Не принципиально,Да,Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 11:30:03,Мужской,18,МТ,Более 10 часов в неделю,Более 10 часов в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Не читаю с телефона,,Раз в 2 - 3 года,"5 - 6'', 1920 х 1080, 2340 х 1080 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 11:31:27,Женский,19,ИБМ,Более 10 часов в неделю,2 - 3 часа в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Нет,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,Разрешение не принципиально,10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 11:31:44,Женский,21,Ибм,Более 10 часов в неделю,Более 10 часов в неделю,3 - 6 часов в неделю,"Жить без фотографирования и съёмок не могу, и вообще я тиктокер(ша) по жизни",Почти всегда списываю с телефона,Не читаю с телефона,,Раз в 2 - 3 года,"5 - 6'', 6 - 7''","10 - 20 Мп устроит, Более 20 Мп","Нет, у меня всегда PowerBank и зарядка",Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 11:32:27,Мужской,19,Мт,Более 10 часов в неделю,6 - 10 часов в неделю,Менее 3 часов в неделю,"Фотографирую материал на лекциях, семинарах",Иногда,Не читаю с телефона,,Раз в 4 - 5 лет,"1920 х 1080, 2340 х 1080 и близкие",10 - 20 Мп устроит,Да,Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 11:45:33,Мужской,19,МТ,Более 10 часов в неделю,Более 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 2 - 3 года,5 - 6'',Более 20 Мп,Да,Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 11:48:35,Женский,21,Ибм,6 - 10 часов в неделю,2 - 3 часа в неделю,Менее 3 часов в неделю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,Разрешение не принципиально,10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 11:49:43,Мужской,19,ИБМ,6 - 10 часов в неделю,Менее часа в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Более 10 часов в неделю,,Раз в 4 - 5 лет,5 - 6'',Не принципиально,Да,"Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен",
11.04.2022 12:04:25,Женский,19,СМ,Более 10 часов в неделю,Более 10 часов в неделю,Менее 3 часов в неделю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 5 - 10 часов в неделю,,Раз в 2 - 3 года,"2560 х 1440, 3120 х 1440 и близкие",10 - 20 Мп устроит,Да,Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 12:04:53,Мужской,19,Ибм,Более 10 часов в неделю,Менее часа в неделю,3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Не читаю с телефона,,Раз в 2 - 3 года,Разрешение не принципиально,Более 20 Мп,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 12:08:09,Женский,19,Ибм,6 - 10 часов в неделю,Менее часа в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 2 - 3 года,"5 - 6'', 1920 х 1080, 2340 х 1080 и близкие, Разрешение не принципиально",10 - 20 Мп устроит,Да,"Нет, у меня нет задач, где производительность была бы важна","Да, предпочитаю конкретный бренд",
11.04.2022 12:14:42,Мужской,19,РК,6 - 10 часов в неделю,"Смотрю ночью вместо того, чтобы спать, 10+ часов в неделю",Не играю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 5 - 10 часов в неделю,,Раз в 4 - 5 лет,"5 - 6'', 6 - 7'', Разрешение не принципиально",Не принципиально,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 12:57:14,Мужской,21,ИБМ,6 - 10 часов в неделю,6 - 10 часов в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Почти всегда списываю с телефона,Читаю 1 - 4 часа в неделю,,Раз в 2 - 3 года,"6 - 7'', 1920 х 1080, 2340 х 1080 и близкие",Более 20 Мп,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 13:30:40,Мужской,19,ИБМ,2 - 3 часа в неделю,6 - 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Нет,Более 10 часов в неделю,,Раз в 4 - 5 лет,Разрешение не принципиально,10 - 20 Мп устроит,Да,"Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен",
11.04.2022 13:44:02,Мужской,19,ИБМ ,6 - 10 часов в неделю,Более 10 часов в неделю,"Практически ежедневно, я киберспортсмен","Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Не читаю с телефона,,Раз в 2 - 3 года,5 - 6'',Не принципиально,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 14:16:49,Женский,19,ИБМ,Более 10 часов в неделю,6 - 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Не читаю с телефона,,Раз в 2 - 3 года,"5 - 6'', 6 - 7''",Не принципиально,"Нет, у меня всегда PowerBank и зарядка","Нет, у меня нет задач, где производительность была бы важна","Да, предпочитаю конкретный бренд",
11.04.2022 14:22:31,Женский,20,СМ,Более 10 часов в неделю,2 - 3 часа в неделю,3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 2 - 3 года,Более 7'',Более 20 Мп,Да,Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 14:29:35,Женский,20,ИБМ,Более 10 часов в неделю,2 - 3 часа в неделю,Менее 3 часов в неделю,"Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Более 10 часов в неделю,,Раз в 4 - 5 лет,"5 - 6'', 6 - 7'', 2560 х 1440, 3120 х 1440 и близкие","10 - 20 Мп устроит, Более 20 Мп",Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 15:30:24,Мужской,19,ИБМ,2 - 3 часа в неделю,"Смотрю ночью вместо того, чтобы спать, 10+ часов в неделю",Не играю,"Фотографирую материал на лекциях, семинарах",Нет,Более 10 часов в неделю,Пишу книгу,Раз в 2 - 3 года,Разрешение не принципиально,Не принципиально,"Нет, всегда ношу PowerBank",Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 15:34:51,Женский,19,ИБМ,Более 10 часов в неделю,Менее часа в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 5 - 10 часов в неделю,,Раз в 2 - 3 года,Разрешение не принципиально,10 - 20 Мп устроит,Да,"Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен",
11.04.2022 15:40:54,Мужской,20,ИБМ,Более 10 часов в неделю,Более 10 часов в неделю,3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Иногда,Не читаю с телефона,,Раз в 4 - 5 лет,"1920 х 1080, 2340 х 1080 и близкие, 2560 х 1440, 3120 х 1440 и близкие",Более 20 Мп,"Нет, всегда ношу PowerBank","Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен",
11.04.2022 18:54:15,Мужской,30,ИУ,Более 10 часов в неделю,6 - 10 часов в неделю,3 - 6 часов в неделю,"Иногда фотографирую, снимаю видео",Почти всегда списываю с телефона,Не читаю с телефона,,Раз в 4 - 5 лет,"2560 х 1440, 3120 х 1440 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Нет, бренд не важен",
11.04.2022 18:58:44,Женский,20,ИУ,2 - 3 часа в неделю,2 - 3 часа в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,6 - 7'',Более 20 Мп,Да,"Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен",
11.04.2022 19:04:07,Женский,19,ИБМ,2 - 3 часа в неделю,2 - 3 часа в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 5 - 10 часов в неделю,,Раз в 4 - 5 лет,"2560 х 1440, 3120 х 1440 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
11.04.2022 19:37:00,Женский,20,Энерго,Более 10 часов в неделю,Более 10 часов в неделю,"Практически ежедневно, я киберспортсмен","Жить без фотографирования и съёмок не могу, и вообще я тиктокер(ша) по жизни",Почти всегда списываю с телефона,Не читаю с телефона,-,Раз в 2 - 3 года,"6 - 7'', 1920 х 1080, 2340 х 1080 и близкие",Более 20 Мп,Нет,Только флагманские модели,"Да, предпочитаю конкретный бренд",
11.04.2022 20:01:52,Мужской,20,СМ,2 - 3 часа в неделю,6 - 10 часов в неделю,Не играю,"Фотографирую материал на лекциях, семинарах",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,"5 - 6'', 1920 х 1080, 2340 х 1080 и близкие",Не принципиально,Да,"Нет, у меня нет задач, где производительность была бы важна","Нет, бренд не важен",
12.04.2022 1:36:30,Мужской,20,иу7,6 - 10 часов в неделю,6 - 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Читаю 1 - 4 часа в неделю,,Раз в 4 - 5 лет,"5 - 6'', 6 - 7'', 1920 х 1080, 2340 х 1080 и близкие",Более 20 Мп,Нет,Выбираю производительность выше среднего,"Да, предпочитаю конкретный бренд",
17.04.2022 12:31:05,Женский,19,БМТ,6 - 10 часов в неделю,Более 10 часов в неделю,Не играю,"Иногда фотографирую, снимаю видео",Иногда,Не читаю с телефона,,Раз в 2 - 3 года,"1920 х 1080, 2340 х 1080 и близкие",10 - 20 Мп устроит,Да,Выбираю производительность выше среднего,"Нет, бренд не важен",